Date,Close,High,Low,Open,Volume
2019-06-17,193.89,194.96,192.17,192.9,14669140
2019-06-14,192.74,193.5863,190.3,191.545,18761470
2019-06-13,194.15,196.79,193.6,194.7,21674630
2019-06-12,194.19,195.97,193.385,193.95,18253190
2019-06-11,194.81,196.0,193.6,194.86,26932880
2019-06-10,192.58,195.37,191.62,191.81,26220850
2019-06-07,190.15,191.92,185.77,186.51,30684390
2019-06-06,185.22,185.47,182.1489,183.08,22526310
2019-06-05,182.54,184.99,181.14,184.28,29773430
2019-06-04,179.64,179.83,174.52,175.44,30967960
2019-06-03,173.3,177.92,170.27,175.6,40396070
2019-05-31,175.07,177.99,174.99,176.23,27043580
2019-05-30,178.3,179.23,176.67,177.95,21218410
2019-05-29,177.38,179.35,176.0,176.42,28481170
2019-05-28,178.23,180.59,177.91,178.92,27948160
2019-05-24,178.97,182.14,178.62,180.2,23714690
2019-05-23,179.66,180.54,177.81,179.8,36529740
2019-05-22,182.78,185.71,182.55,184.66,29748560
2019-05-21,186.6,188.0,184.7,185.22,28364850
2019-05-20,183.09,184.349,180.2839,183.52,38612290
2019-05-17,189.0,190.9,186.76,186.93,32879090
2019-05-16,190.08,192.4689,188.84,189.91,33031360
2019-05-15,190.92,191.75,186.02,186.27,26544720
2019-05-14,188.66,189.7,185.41,186.41,36529680
2019-05-13,185.72,189.48,182.85,187.71,57430620
2019-05-10,197.18,198.85,192.77,197.419,41208710
2019-05-09,200.72,201.68,196.66,200.4,34908610
2019-05-08,202.9,205.34,201.75,201.9,26339500
2019-05-07,202.86,207.4175,200.825,205.88,38763700
2019-05-06,208.48,208.84,203.5,204.29,32443110
2019-05-03,211.75,211.84,210.23,210.89,20892380
2019-05-02,209.15,212.65,208.13,209.84,31996320
2019-05-01,210.52,215.31,209.23,209.88,64827330
2019-04-30,200.67,203.4,199.11,203.06,45751160
2019-04-29,204.61,205.97,203.86,204.4,22010360
2019-04-26,204.3,205.0,202.12,204.9,18612770
2019-04-25,205.28,207.76,205.12,206.83,18463850
2019-04-24,207.16,208.48,207.05,207.36,17427570
2019-04-23,207.48,207.75,203.9,204.43,23286380
2019-04-22,204.53,204.94,202.34,202.83,17841920
2019-04-18,203.86,204.15,202.52,203.12,24185530
2019-04-17,203.13,203.38,198.61,199.54,28865310
2019-04-16,199.25,201.37,198.56,199.46,25668330
2019-04-15,199.23,199.85,198.01,198.58,17524150
2019-04-12,198.87,200.14,196.21,199.2,27738580
2019-04-11,198.95,201.0,198.4431,200.85,20543190
2019-04-10,200.62,200.74,198.18,198.68,21654750
2019-04-09,199.5,202.85,199.23,200.32,35738280
2019-04-08,200.1,200.23,196.34,196.42,25829880
2019-04-05,197.0,197.1,195.93,196.45,18473070
2019-04-04,195.69,196.37,193.14,194.79,19090050
2019-04-03,195.35,196.5,193.15,193.25,23243160
2019-04-02,194.02,194.46,191.05,191.09,22727370
2019-04-01,191.24,191.68,188.38,191.64,27308200
2019-03-29,189.95,190.08,188.54,189.83,23524830
2019-03-28,188.72,189.559,187.53,188.95,20710390
2019-03-27,188.47,189.76,186.55,188.75,29771210
2019-03-26,186.79,192.88,184.58,191.664,49696100
2019-03-25,188.74,191.98,186.6,191.51,43751810
2019-03-22,191.05,197.69,190.78,195.34,42287640
2019-03-21,195.09,196.33,189.81,190.02,50943120
2019-03-20,188.16,189.49,184.73,186.23,31003380
2019-03-19,186.53,188.99,185.92,188.35,31440300
2019-03-18,188.02,188.39,185.79,185.8,26148590
2019-03-15,186.12,187.33,183.74,184.85,39017490
2019-03-14,183.73,184.1,182.56,183.9,23527660
2019-03-13,181.71,183.3,180.92,182.25,30929740
2019-03-12,180.91,182.67,179.37,180.0,32416800
2019-03-11,178.9,179.12,175.35,175.49,31123000
2019-03-08,172.91,173.07,169.5,170.32,23985960
2019-03-07,172.5,174.44,172.02,173.87,24755470
2019-03-06,174.52,175.49,173.94,174.67,20755140
2019-03-05,175.53,176.0,174.54,175.94,19238480
2019-03-04,175.85,177.75,173.97,175.69,27413060
2019-03-01,174.97,175.15,172.89,174.28,25737560
2019-02-28,173.15,174.91,172.92,174.32,27953810
2019-02-27,174.87,175.0,172.73,173.21,27817640
2019-02-26,174.33,175.3,173.1732,173.71,16991610
2019-02-25,174.23,175.87,173.95,174.16,21846400
2019-02-22,172.97,173.0,171.38,171.58,18890250
2019-02-21,171.06,172.37,170.3,171.8,17154540
2019-02-20,172.03,173.32,170.99,171.19,25323890
2019-02-19,170.93,171.44,169.49,169.71,18958570
2019-02-15,170.42,171.7,169.75,171.25,24603320
2019-02-14,170.8,171.2615,169.38,169.71,21785180
2019-02-13,170.18,172.48,169.92,171.39,22389660
2019-02-12,170.89,171.0,169.7,170.1,22224400
2019-02-11,169.43,171.21,169.25,171.05,20940020
2019-02-08,170.41,170.66,168.42,168.99,23793830
2019-02-07,170.94,173.94,170.34,172.4,31644240
2019-02-06,174.24,175.57,172.8531,174.65,28204640
2019-02-05,174.18,175.08,172.3501,172.86,36054570
2019-02-04,171.25,171.655,167.28,167.41,31384720
2019-02-01,166.52,168.98,165.93,166.96,32644590
2019-01-31,166.44,169.0,164.56,166.11,40613260
2019-01-30,165.25,166.15,160.23,163.25,60800480
2019-01-29,154.68,158.13,154.11,156.25,39914850
2019-01-28,156.3,156.33,153.66,155.79,26147280
2019-01-25,157.76,158.13,154.32,155.48,33508960
2019-01-24,152.7,154.48,151.74,154.11,25418110
2019-01-23,153.92,155.14,151.7,154.15,23046560
2019-01-22,153.3,156.73,152.62,156.41,30273990
2019-01-18,156.82,157.88,155.9806,157.5,33259460
2019-01-17,155.86,157.66,153.26,154.2,29616190
2019-01-16,154.94,155.88,153.0,153.08,30483120
2019-01-15,153.07,153.39,150.05,150.27,28449940
2019-01-14,150.0,151.27,149.22,150.85,32018540
2019-01-11,152.29,153.7,151.51,152.88,26924630
2019-01-10,153.8,153.97,150.86,152.5,35661200
2019-01-09,153.31,154.53,149.63,151.29,45034370
2019-01-08,150.75,151.82,148.52,149.56,40622910
2019-01-07,147.93,148.83,145.9,148.7,54571440
2019-01-04,148.26,148.5499,143.8,144.53,57423650
2019-01-03,142.19,145.72,142.0,143.98,91106840
2019-01-02,157.92,158.85,154.23,154.89,35637070
2018-12-31,157.74,159.36,156.48,158.53,34499390
2018-12-28,156.23,158.52,154.55,157.5,41740600
2018-12-27,156.15,156.77,150.07,155.84,51608850
2018-12-26,157.17,157.23,146.72,148.3,58133850
2018-12-24,146.83,151.55,146.59,148.15,37169230
2018-12-21,150.73,158.16,149.63,156.86,95497900
2018-12-20,156.83,162.11,155.3,160.4,64398230
2018-12-19,160.89,167.45,159.09,166.0,47597670
2018-12-18,166.07,167.53,164.39,165.38,33753490
2018-12-17,163.94,168.35,162.73,165.45,43250420
2018-12-14,165.48,169.08,165.28,169.0,40620360
2018-12-13,170.95,172.57,169.55,170.49,31754210
2018-12-12,169.1,171.92,169.02,170.4,35474680
2018-12-11,168.63,171.79,167.0,171.66,45968040
2018-12-10,169.6,170.09,163.33,165.0,61759000
2018-12-07,168.49,174.49,168.3,173.49,41678680
2018-12-06,174.72,174.78,170.42,171.76,42704910
2018-12-04,176.69,182.3899,176.27,180.95,41141250
2018-12-03,184.82,184.94,181.21,184.46,40537700
2018-11-30,178.58,180.33,177.03,180.29,39424260
2018-11-29,179.55,182.8,177.7,182.66,41523580
2018-11-28,180.94,181.29,174.93,176.73,45941750
2018-11-27,174.24,174.77,170.88,171.51,41156140
2018-11-26,174.62,174.95,170.26,174.24,44662320
2018-11-23,172.29,176.595,172.1,174.94,23623970
2018-11-21,176.78,180.27,176.55,179.73,31096240
2018-11-20,176.98,181.47,175.51,178.37,67678680
2018-11-19,185.86,190.7,184.99,190.0,41626820
2018-11-16,193.53,194.9695,189.46,190.5,36191330
2018-11-15,191.41,191.97,186.9,188.39,46271660
2018-11-14,186.8,194.48,185.93,193.9,60547340
2018-11-13,192.23,197.18,191.4501,191.63,46725710
2018-11-12,194.17,199.85,193.79,199.0,50991030
2018-11-09,204.47,206.01,202.25,205.55,34317760
2018-11-08,208.49,210.12,206.75,209.98,25289270
2018-11-07,209.95,210.06,204.13,205.97,33291640
2018-11-06,203.77,204.72,201.69,201.92,31774720
2018-11-05,201.59,204.39,198.17,204.3,66072170
2018-11-02,207.48,213.65,205.43,209.55,91046560
2018-11-01,222.22,222.36,216.81,219.05,52954070
2018-10-31,218.86,220.45,216.62,216.88,38016810
2018-10-30,213.3,215.18,209.27,211.15,36487930
2018-10-29,212.24,219.69,206.09,219.19,45713690
2018-10-26,216.3,220.19,212.67,215.9,47191700
2018-10-25,219.8,221.38,216.75,217.71,29027340
2018-10-24,215.09,224.23,214.54,222.6,39992120
2018-10-23,222.73,223.25,214.7,215.83,38681170
2018-10-22,220.65,223.36,218.94,219.79,28751540
2018-10-19,219.31,221.26,217.43,218.06,32874330
2018-10-18,216.02,219.74,213.0,217.86,32389280
2018-10-17,221.19,222.64,219.34,222.3,22692880
2018-10-16,222.15,222.99,216.7627,218.93,28802550
2018-10-15,217.36,221.83,217.27,221.16,30280450
2018-10-12,222.11,222.88,216.84,220.42,39494770
2018-10-11,214.45,219.5,212.32,214.52,52902320
2018-10-10,216.36,226.35,216.05,225.46,41084070
2018-10-09,226.87,227.27,222.2462,223.64,26656630
2018-10-08,223.77,224.8,220.2,222.21,28784550
2018-10-05,224.29,228.41,220.58,227.96,33507770
2018-10-04,227.99,232.35,226.73,230.78,31961120
2018-10-03,232.07,233.47,229.78,230.05,28540490
2018-10-02,229.28,230.0,226.63,227.25,24435010
2018-10-01,227.26,229.42,226.35,227.95,23171020
